	hashtag	time_(s)
7	#bnk48	91
8	#bnk48	91
9	#bnk48	91
10	#punbnk48	91
11	#bnk48	91
12	#bnk48	91
13	#bnk48foundermember	91
14	#bnk48theater	91
15	#bnk48thecampus	91
16	#bnk481stc…rt	91
17	#bnk48	91
18	#punbnk48	91
19	#jennisbnk48	91
20	#cherprangbnk48	91
21	#mobilebnk48	91
22	#musicbnk48	91
23	#ornbnk48	91
24	#true	91
0	#bnk48rt	101
1	#ornbnk48	101
2	#bnk48	101
3	#bnk48	101
4	#bnk48	101
5	#musicbnk48	101
6	#punbnk48	101
7	#cherprangbnk48	101
8	#jennisbnk48	101
9	#jennisbnk48	101
10	#bnk48	101
11	#bnk48	101
0	#punbnk48	111
1	#katebnk48	111
2	#bnk48	111
3	#punbnk48	111
4	#bnk48	111
5	#bnk48	111
6	#jennisbnk48	111
7	#valentinemyoshi	111
8	#ornbnk48	111
9	#bnk48	111
10	#cherprangbnk48	111
11	#bnk48	111
12	#cherodinger	111
13	#cherprangbnk48	111
14	#bnk48	111
15	#mymilintine	111
16	#bnk48	111
17	#namneungbnk48	111
18	#cherprangbnk48	111
19	#bnk48	111
20	#ornbnk48	111
21	#tarwaanbnk48	111
22	#bnk48	111
23	#ornbnk48	111
24	#bnk48	111
0	#cherprangbnk48	122
1	#cherprangbnk48	122
2	#bnk48	122
3	#punbnk48	122
4	#bnk48	122
5	#น่ารักกว่าคนอื่นเขา	122
6	#cherprangbnk48	122
7	#bnk48	122
8	#bnk48	122
9	#ornbnk48	122
10	#bnk48	122
0	#janbnk48	132
1	#bnk48	132
2	#cherprangbnk48	132
3	#bnk48	132
4	#เกรทพอร์ช	132
5	#bnk48	132
6	#cherprangbnk48	132
7	#ornbnk48	132
8	#punbnk48	132
9	#…rt	132
10	#bnk48	132
11	#cherprangbnk48	132
12	#เฌอสิค	132
13	#bnk48	132
14	#cherprangbnk48	132
15	#musicbnk48	132
16	#punbnk48	132
17	#bnk48	132
18	#truepoint	132
19	#bnk48xtrue	132
20	#trueyou	132
21	#tru…	132
0	#izutarinabnk48	142
1	#izurin…rt	142
2	#cherprangbnk48	142
3	#bnk48	142
4	#ninkbnk48	142
5	#bnk48	142
6	#bnk48	142
7	#truepoint	142
8	#bnk48xtrue	142
9	#trueyou	142
10	#tru…rt	142
11	#cherprangbnk48	142
12	#bnk48	142
13	#valenoeyday	142
14	#วันแห่งความอ๊บ	142
15	#noeybnk48	142
16	#bnk48	142
17	#ornbnk48	142
18	#bnk48	142
0	#b…rt	152
1	#เฌอปราง	152
2	#cherprangbnk48	152
3	#cherovalentine	152
4	#bnk48	152
5	#noeybnk48	152
6	#valenoeyday	152
7	#วันแห่งความอ๊บ	152
8	#bnk48	152
9	#cherprangbnk48	152
10	#bnk48	152
11	#mioribnk48	152
12	#jaabnk48	152
13	#bnk48…rt	152
14	#bnk48	152
15	#bnk48foundermember	152
16	#bnk48theater	152
17	#bnk48thecampus	152
18	#bnk481stc…rt	152
19	#punbnk48	152
20	#bnk48	152
21	#คลิปที่สนาม…rt	152
22	#cherprangbnk48	152
23	#punbnk48	152
24	#musicbnk48	152
25	#mobilebnk48	152
26	#ornbnk48	152
27	#jennisbnk…	152
0	#bnk48	162
1	#punbnk48	162
2	#valenoeyday	162
3	#วันแห่งความอ๊บ	162
4	#noeybnk48	162
5	#bnk48	162
6	#valenoeyday	162
7	#วันแห่งความอ๊บ	162
8	#noeybnk48	162
9	#bnk…rt	162
10	#punjennisbnk48	162
11	#jennisbnk48	162
12	#punbnk48	162
13	#bnk48	162
14	#ปัญเจนนิษฐ์	162
15	#bnk48	162
16	#punbnk48	162
17	#jennisbnk48	162
18	#myvatentine…rt	162
19	#ornbnk48	162
20	#cher…rt	162
21	#cherprangbnk48	162
22	#bnk48	162
0	#cherprangbnk48	172
0	#musicbnk48	183
1	#bnk…rt	183
2	#bnk48	183
3	#cherprangbnk48	183
4	#punbnk48	183
5	#jennisbnk48	183
6	#mobilebnk48	183
7	#bnk48	183
8	#punbnk48	183
9	#bnk48	183
10	#bnk48	183
11	#ornbnk48	183
12	#bnk48	183
13	#punbnk48	183
14	#jennisbnk48	183
15	#mobilebnk48	183
16	#bnk48	183
17	#cherprangbnk48	183
18	#bnk48	183
0	#bnk48	193
1	#jennisbnk48	193
2	#bnk48	193
3	#punbnk48	193
4	#jennisbnk48	193
5	#mobilebnk48	193
6	#bnk48	193
7	#cherprangbnk48	193
8	#bnk48	193
9	#สามแยกปากหวาน	193
10	#cherprangbnk48	193
11	#ornbnk48	193
12	#punbnk48	193
13	#bnk48	193
0	#punbnk48	203
1	#bnk48	203
2	#bnk48rt	203
3	#n…rt	203
4	#cherprangbnk48	203
5	#bnk48	203
6	#valentinemyoshi	203
0	#urmyornlyvalentine	213
1	#ornlyyou	213
2	#ornbnk48	213
3	#bnk48	213
4	#punbnk48	213
5	#jennisbnk48	213
6	#mobilebnk48	213
7	#bnk48	213
8	#bnk48	213
9	#bnk48foundermember	213
10	#bnk48theater	213
11	#bnk48thecampus	213
12	#bnk481stc…ใครยังไม่ดูต้องไปดูนะ	213
13	#jennisbnk48	213
14	#bnk48	213
15	#mobilebnk48	213
16	#cherprangbnk48	213
17	#bnk48	213
18	#bnk48	213
19	#ninkbnk48	213
20	#bnk48	213
21	#bnk48	213
22	#bnk48foundermember	213
23	#bnk48theater	213
24	#bnk48thecampus	213
25	#bnk481stc…	213
0	#ชราไลน์	224
1	#bnk48	224
2	#ornbnk48	224
3	#noeybnk48	224
4	#namneungbnk48	224
5	#kaewbnk48	224
6	#tarwaanbnk48	224
7	#namsaibnk48	224
8	#kornbnk48	224
9	#bnk48	224
10	#วาเลนไทน์	224
11	#bnk48	224
12	#cherprangbnk48	224
13	#mymilintine	224
14	#bnk48	224
15	#namneungbnk48	224
16	#bnk48	224
17	#cherprangbnk48	224
18	#ornbnk48	224
19	#katebnk48	224
20	#bnk48	224
0	#kaewbnk48	234
1	#jennisbnk48	234
2	#punbnk48	234
3	#mobilebnk…rt	234
4	#bnk48	234
5	#cherprangbnk48	234
6	#bnk48	234
7	#bnk48	234
8	#mobilebnk48	234
9	#cherprangbnk48	234
10	#bnk48	234
0	#piambnk48	244
1	#bnk48	244
2	#bnk48	244
0	#punb…rt	254
1	#bnk48	254
2	#mobilebnk48	254
3	#bnk48	254
4	#เดลินิวส์	254
5	#musicbnk48	254
6	#cherpr…rt	254
7	#ornbnk48	254
8	#cher…rt	254
9	#cherprangbnk48	254
10	#punbnk48	254
11	#musicbnk48	254
12	#mobilebnk48	254
13	#ornbnk48	254
14	#jennisbnk…	254
0	#bnk48	264
1	#bnk48	264
2	#jennisbnk48	264
3	#musicbnk48	264
4	#bnk48	264
5	#musicbnk48	264
6	#cherprangbnk48	264
7	#bnk48	264
8	#valentinemyoshi	264
9	#punbnk48	264
10	#bnk48	264
0	#kornbnk48	275
1	#tarwaanbnk48	275
2	#pupebnk48	275
3	#musicbnk48	275
4	#jibbnk48	275
5	#ninkb…rt	275
6	#bnk48	275
7	#truepoint	275
8	#bnk48xtrue	275
9	#trueyou	275
10	#tru…rt	275
11	#bnk48	275
12	#punbnk48	275
0	#ปัญเจนนิษฐ์	285
1	#punbnk48	285
2	#jennisbnk48	285
3	#bnk48	285
4	#bnk48	285
5	#mobilebnk48	285
6	#namsaibnk48	285
7	#bnk48	285
8	#musicbnk48	285
9	#bnk48	285
10	#jennisbnk48	285
11	#bnk48	285
12	#bnk48	285
13	#cherprangbnk48	285
0	#punbnk48	295
1	#jennisbnk48	295
2	#mobilebnk48	295
3	#bnk48	295
4	#bnk48	295
5	#bnk48	295
6	#bnk48foundermember	295
7	#bnk48theater	295
8	#bnk48thecampus	295
9	#bnk481stc…rt	295
10	#musicbnk48	295
11	#bnk48	295
12	#mobilebnk48	295
13	#cherprangbnk48	295
14	#bnk48	295
0	#cherprangbnk48	305
1	#bnk48	305
2	#bnk48	305
3	#musicbnk48	305
0	#mnl48nextstagewk3	315
1	#bnk48	315
2	#jennisbnk48	315
3	#punbnk48	315
4	#bnk48	315
5	#bnk48	315
6	#pupebnk48	315
7	#musicbnk48	315
8	#punbnk48	315
9	#jennisbnk48	315
10	#kaimookbnk48	315
11	#mobilebnk48…rt	315
12	#bnk48	315
13	#bnk48digital…rt	315
14	#ornbnk48	315
15	#cherprangbnk48	315
16	#bnk48	315
17	#punbnk48	315
18	#jennisbnk48	315
19	#mobilebnk48	315
20	#bnk48	315
21	#bnk48	315
22	#cherprangbnk48	315
23	#bnk48	315
24	#kimookbnk48rt	315
25	#bnk48	315
26	#cherprangbnk48	315
27	#bnk48	315
28	#punbnk48	315
29	#jennisbnk48	315
30	#cherprangbnk48	315
31	#mobilebnk48	315
32	#musicbnk48	315
33	#ornbnk48	315
34	#true	315
35	#น้ำหนึ่งเนย	315
36	#noeybnk48	315
37	#namneungbnk48	315
38	#kornbnk48	315
39	#ornbnk48	315
40	#punbnk48	315
41	#cherprangbnk48	315
42	#bnk48	315
0	#punbnk48	325
1	#bnk48	325
2	#mobilebnk48	325
3	#cherprangbnk48	325
4	#bnk48	325
5	#bnk48	325
6	#punbnk48	325
7	#jennisbnk48	325
8	#cherprangbnk48	325
9	#mobilebnk48	325
10	#musicbnk48	325
11	#ornbnk48	325
12	#true	325
13	#jennisbnk48	325
14	#punbnk48	325
15	#bnk48	325
16	#bnk48	325
17	#cherprangbnk48	325
18	#punbnk48	325
19	#bnk48	325
20	#punbnk48	325
21	#bnk48	325
22	#bnk48	325
23	#punbnk48	325
0	#cherprangbnk48	336
1	#musicbnk48	336
2	#punbnk48	336
3	#bnk48	336
4	#punbnk48	336
5	#jennisbnk48	336
6	#mobilebnk48	336
7	#bnk48	336
8	#urmyornlyvalentine	336
9	#ornlyyou	336
10	#ornbnk48	336
11	#bnk48	336
12	#salmorn	336
13	#salmorn_glassessnap	336
14	#bnk48	336
15	#tarwaanb…	336
0	#bnk48	346
1	#bnk48foundermember	346
2	#bnk48theater	346
3	#bnk48thecampus	346
4	#bnk481stc…rt	346
5	#cherprangbnk48	346
6	#bnk48	346
7	#bnk48	346
8	#true…พบเด็กดุ้กดิ้กหลายอัตรา	346
9	#bnk48	346
10	#punbnk48	346
11	#jennisbnk48	346
12	#kaimookbnk48	346
13	#bnk48	346
14	#แม้ว่าคนข้างๆจะคุยกันเสียงดังก็ตาม	346
15	#musicbnk48	346
16	#bnk48	346
0	#bnk48	356
1	#เดลินิวส์	356
2	#musicbnk48	356
3	#bnk48	356
4	#bnk48	356
5	#true…อย่าลืมไปเชียร์	356
0	#อรอุ๋ง	366
1	#ornbnk48	366
2	#bnk48	366
3	#bnk48	366
4	#bnk48foundermember	366
5	#bnk48theater	366
6	#bnk48thecampus	366
7	#bnk481stc…rt	366
8	#bnk48	366
9	#punbnk4…อะไร๊	366
10	#punbnk48	366
11	#jennisbnk48	366
12	#mobilebnk48	366
13	#bnk48	366
14	#bnk48	366
15	#cherprangbnk48	366
0	#janbnk48	376
1	#bnk48	376
2	#kazzmagazine	376
3	#ornbnk48	376
4	#bnk48	376
5	#jennisbnk48	376
6	#bnk48	376
7	#ornbnk48	376
8	#bnk48	376
0	#bnk48	387
1	#bnk48foundermember	387
2	#bnk48theater	387
3	#bnk48thecampus	387
4	#bnk481stc…#bnk48	387
5	#ornbnk48	387
6	#bnk48	387
0	#bnk48rt	397
1	#mobilebnk48	397
2	#cherprangbnk48	397
3	#bnk48	397
4	#b…rt	397
5	#punbnk48	397
6	#bnk48	397
0	#mobilebnk48	407
1	#cherprangbnk48	407
2	#bnk48	407
3	#cherprangbnk48	407
4	#punbnk48	407
5	#musicbnk48	407
6	#mobilebnk48	407
7	#ornbnk48	407
8	#jennisbnk48	407
9	#bnk48	407
10	#bnk48	407
11	#musicbnk48	407
12	#bnk48	407
13	#ปล่อย	407
14	#bnk48	407
15	#tusexyboy…	407
0	#cherprangbnk48	417
1	#bnk48	417
2	#punbnk48	417
3	#bnk48	417
4	#สามแยกปากหวาน	417
5	#อรอุ๋ง	417
6	#ornbnk48	417
7	#bnk48	417
8	#cherprangbnk48	417
9	#punbnk48	417
10	#musicbnk48	417
11	#mobilebnk48	417
12	#ornbnk48	417
13	#jennisbnk48	417
14	#…rt	417
15	#cherprangbnk48	417
16	#เฌอสิค	417
17	#musicbnk48	417
18	#bnk48	417
19	#punbnk48	417
20	#bnk48	417
0	#kornbnk48	427
1	#bnk48	427
2	#ใจรัก	427
3	#อรแก้ว	427
4	#kaewbnk48	427
5	#ornbnk48	427
6	#bnk48	427
7	#bnk48	427
8	#truepoint	427
9	#bnk48xtrue	427
10	#trueyou	427
11	#tru…rt	427
12	#เฌอสิค	427
13	#valentinemyoshi	427
14	#cherprangbnk48	427
15	#musicbnk48	427
16	#bnk48	427
17	#พี่เฌอกับน้องสิค	427
0	#musicbnk48	438
1	#cherprangbnk48	438
2	#bnk48	438
3	#valentinemyoshi	438
4	#mobilebnk48	438
5	#punbnk48	438
6	#jennisbnk48	438
7	#ornbnk48	438
8	#cherprangbnk48	438
9	#musicbnk4…rt	438
10	#punbnk48	438
11	#jennisbnk48	438
12	#mobilebnk48	438
13	#bnk48	438
14	#bnk48	438
15	#jennisbnk48	438
0	#ornbnk48	448
1	#cher…rt	448
2	#bnk48	448
3	#punbnk48	448
4	#jennisbnk48	448
5	#mobilebnk48	448
6	#musicbnk48	448
7	#cherprangbnk48	448
8	#ornbnk48	448
0	#ornbnk48	458
1	#wordshurtcampaignth	458
2	#bnk48	458
3	#cyberbullying	458
4	#bnk48	458
5	#cherprangbnk48	458
6	#musicbnk48	458
7	#bnk48	458
8	#อาหารเท่านั้นที่เยียวยาทุกสิ่ง	458
9	#bnk48ก็เช่นกัน	458
10	#bnk48	458
11	#ornbnk48	458
12	#bnk48	458
13	#punbnk48	458
14	#jennisbnk48	458
15	#pupebnk48	458
16	#kaimookbnk48	458
17	#musicb…rt	458
18	#bnk48	458
19	#musicbnk48	458
20	#ornbnk48	458
0	#izurinabnk48	468
1	#ornbnk48	468
2	#tarwaanbnk48	468
3	#cherpra…rt	468
4	#musicbnk48	468
5	#bnk48	468
6	#bnk48	468
7	#cherprangbnk48	468
8	#musicbnk48	468
9	#bnk48	468
10	#bnk48	468
11	#bnk48foundermember	468
12	#bnk48theater	468
13	#bnk48thecampus	468
14	#bnk481stc…rt	468
15	#bnk48	468
16	#mobilebnk48	468
17	#janbnk48	468
18	#janchan	468
19	#bnk48	468
20	#mobilebnk48	468
21	#cherprangbnk48	468
22	#bnk48	468
0	#น้ำหนึ่งเนย	478
1	#bnk48	478
2	#namneungbnk48	478
3	#noeybnk48	478
4	#เฌอสิค	478
5	#bnk48	478
6	#cherprangbnk48	478
7	#musicbnk48	478
8	#punbnk48	478
9	#bnk48	478
10	#punbnk48	478
11	#jennisbnk48	478
12	#น้ำหนึ่งเนย	478
13	#bnk48	478
14	#namneungbnk48	478
15	#noeybnk48	478
16	#bnk48	478
17	#เฌอสิค	478
18	#valentinemyoshi	478
19	#cherprangbnk48	478
20	#musicbnk48	478
21	#bnk48	478
22	#พี่เฌอกับน้องสิค	478
23	#bnk48	478
24	#cherprangbnk48	478
25	#jennisbnk48	478
26	#bnk48	478
27	#ornbnk48	478
28	#bnk48	478
29	#bnk48sweetcall	478
30	#bnk48	478
31	#punbnk48	478
32	#jennisbnk48	478
33	#cherprangbnk48	478
34	#mobilebnk48	478
35	#musicbnk48	478
36	#ornbnk48	478
37	#true	478
0	#bnk48	489
1	#truepoint	489
2	#bnk48xtrue	489
3	#trueyou	489
4	#tru…เล่นมั่งๆ	489
5	#psksweetheart	489
6	#punbnk48	489
7	#bnk48	489
8	#ทีมต้อนรับบ้านปัญนาน่า…	489
9	#musicbnk48	489
10	#bnk48	489
11	#jennisbnk48	489
12	#bnk48	489
13	#bnk48	489
14	#bnk48foundermember	489
15	#bnk48theater	489
16	#bnk48thecampus	489
17	#bnk481stc…rt	489
18	#jennisbnk48	489
19	#bnk48	489
20	#cherprangbnk48	489
21	#bnk48	489
22	#valentinemyoshi	489
23	#ornbnk48	489
24	#bnk48	489
25	#salmorn	489
26	#salmorn_glassessnap	489
27	#bnk48	489
0	#bnk48	499
1	#punbnk48	499
2	#tarwaanbnk48	499
3	#bnk48	499
4	#jennisbnk48	499
5	#punbnk48	499
6	#bnk48	499
7	#canubemyvalentine	499
8	#canbnk48	499
9	#เก…valentine's	499
10	#ควีนส์การ์ด	499
0	#ornbnk48	509
1	#bnk48	509
2	#bnk48	509
3	#cherprangbnk48	509
4	#punbnk48	509
5	#musicbnk48	509
6	#jennisbnk48	509
7	#bnk48rt	509
8	#bnk48	509
9	#bnk48	509
10	#punbnk48	509
11	#jennisbnk48	509
12	#cherprangbnk48	509
13	#mobilebnk48	509
14	#musicbnk48	509
15	#ornbnk48	509
16	#true	509
0	#bnk48	519
1	#jennisbnk48	519
2	#bnk48	519
3	#bnk48	519
4	#เดลินิวส์	519
5	#bnk48	519
6	#cherprangbnk48	519
0	#musicbnk48	529
1	#bnk…rt	529
2	#jennisbnk48	529
3	#bnk48	529
0	#มิวสิคคนมีม	540
1	#musicbnk48	540
2	#bnk48	540
3	#bnk48	540
4	#punbnk48	540
0	#punbnk48	550
1	#bnk48	550
2	#ปล่อย	550
3	#bnk48	550
4	#tusexyboy…rt	550
5	#bnk48	550
6	#bnk48	550
7	#kimookbnk48rt	550
8	#janchan	550
9	#janbnk48	550
10	#janurmyvalentine	550
11	#เฌอสิค	550
12	#bnk48	550
13	#cherprangbnk48	550
14	#musicbnk48	550
15	#punbnk48	550
16	#bnk48	550
17	#แก้วตาหวาน	550
18	#jennisbnk…rt	550
19	#bnk48	550
20	#bnk48	550
21	#cherprangbnk48	550
22	#ornbnk48	550
23	#punbnk48	550
24	#…rt	550
25	#bnk48	550
26	#cherprangbnk48	550
27	#bnk48	550
0	#cherprangbnk48	560
1	#bnk48	560
2	#bnk48	560
3	#mobilebnk48	560
4	#noeybnk48	560
5	#namneungbnk48	560
6	#cherprangbnk48	560
7	#punbnk48	560
8	#bnk48	560
9	#สามแยกปากหวาน	560
10	#ornbnk48	560
11	#janbnk48	560
12	#janchan	560
13	#bnk48	560
14	#cherprangbnk48	560
0	#bnk48	570
1	#bnk48foundermember	570
2	#bnk48theater	570
3	#bnk48thecampus	570
4	#bnk481stc…rt	570
5	#bnk48	570
6	#ornbnk48	570
7	#musicbnk48	570
8	#pupebnk48	570
9	#bnk48	570
10	#kornbnk48	570
11	#tarwaanbnk48	570
12	#pupebnk48	570
13	#musicbnk48	570
14	#jibbnk48	570
15	#ninkb…rt	570
16	#cherprangbnk48	570
17	#bnk48	570
18	#imgplay	570
19	#punbnk48	570
20	#bnk48	570
21	#bnk48	570
22	#punbnk48	570
23	#jennisbnk48	570
0	#bnk48	580
1	#punbnk48	580
2	#jennisbnk48	580
3	#bnk48	580
4	#cherprangbnk48	580
5	#bnk48	580
6	#ornbnk48	580
7	#cherprangbnk48	580
8	#bnk48	580
9	#kaewbnk48	580
10	#bnk48	580
11	#kaewthecorgi	580
12	#punbnk48	580
13	#bnk48	580
0	#ornbnk48	591
1	#bnk48	591
2	#cherprangbnk48	591
3	#ornbnk48	591
4	#bnk48	591
5	#bnk48	591
6	#punbnk48	591
0	#bnk48	601
1	#truepoint	601
2	#bnk48xtrue	601
3	#trueyou	601
4	#tru…rt	601
5	#bnk48	601
6	#bnk48foundermember	601
7	#bnk48theater	601
8	#bnk48thecampus	601
9	#bnk481stc…rt	601
10	#janbnk48	601
11	#janchan	601
12	#bnk48	601
13	#bnk48roadshowchiangmai	601
14	#bnk48	601
15	#ornbnk48	601
16	#noeybnk48	601
17	#musicbnk48	601
18	#mobilebnk48…rt	601
19	#musicbnk48	601
20	#bnk48	601
21	#mobilebnk48	601
22	#cherprangbnk48	601
23	#bnk48	601
24	#jennisbnk48	601
25	#punbnk48	601
26	#bnk48	601
27	#cherprangbnk48	601
28	#punbnk48	601
29	#musicbnk48	601
30	#mobilebnk48	601
31	#ornbnk48	601
32	#jennisbnk…	601
0	#punbnk48	611
1	#bnk48	611
2	#เฌอปราง	611
3	#bnk48	611
4	#janbnk48	611
5	#bnk48rt	611
6	#bnk48	611
7	#jennisbnk48	611
8	#bnk48	611
9	#bnk48	611
10	#bnk48	611
11	#punbnk48	611
12	#jennisbnk48	611
13	#cherprangbnk48	611
14	#bnk48	611
0	#bnk48	621
1	#เดลินิวส์	621
2	#เพลงหากิน	621
3	#bnk48	621
4	#janbnk48	621
5	#janchan	621
6	#kazzmagazine	621
7	#ornbnk48	621
8	#bnk48	621
9	#bnk48rt	621
10	#kaewbnk48	621
11	#bnk48	621
12	#kaewthecorgi	621
13	#ninkbnk48	621
14	#bnk48	621
0	#bnk48	631
1	#cherprangbnk48	631
2	#bnk48	631
3	#bnk48foundermember	631
4	#bnk48theater	631
5	#bnk48thecampus	631
6	#bnk481stc…rt	631
7	#cherprangbnk48	631
8	#bnk48	631
9	#punbnk48	631
10	#bnk48	631
11	#bnk48	631
12	#เฌอสิค	631
13	#ปัญเจนนิษฐ์	631
14	#cherprangbnk48	631
15	#musicbnk48	631
16	#punbnk48	631
17	#je…เนี่ย..รักหมดใจ	631
18	#วาเลนไทน์	631
19	#แคปเฌอ	631
20	#cherprangbnk48	631
21	#bnk48	631
22	#เฌอปราง	631
23	#myvalentine	631
24	#bnk48	631
25	#ornbnk48	631
0	#bnk48	641
1	#ornbnk48	641
2	#เฌอสิค	641
3	#bnk48	641
4	#cherprangbnk48	641
5	#musicbnk48	641
6	#punbnk48	641
7	#ornbnk48	641
8	#bnk48	641
0	#bnk48	652
1	#bnk48fanart	652
2	#แก๊งค์เด็กหน้าม้า	652
3	#jibbnk48	652
4	#izurinabnk48	652
5	#kornbnk48	652
6	#namhombnk48	652
7	#bnk48	652
8	#bnk48	652
9	#cherprangbnk48	652
10	#musicbnk48	652
11	#bnk48	652
12	#cherprangbnk48	652
13	#bnk48	652
0	#punbnk48	662
1	#bnk48	662
2	#punbnk48	662
3	#bnk48	662
4	#bnk48	662
5	#punbnk48	662
6	#bnk48	662
7	#ornbnk48	662
8	#bnk48	662
9	#punbnk48	662
10	#bnk48	662
11	#bnk48	662
12	#cherprangbnk48	662
13	#ornbnk48	662
14	#bnk48	662
0	#punbnk48	672
1	#bnk48	672
2	#bnk48	672
3	#kaewbnk48	672
4	#bnk48	672
5	#kaewthecorgi	672
6	#bnk48	672
7	#truepoint	672
8	#bnk48xtrue	672
9	#trueyou	672
10	#tru…rt	672
11	#bnk48	672
12	#bnk48	672
13	#mnl48nextstagewk3	672
14	#bnk48	672
0	#bnk48	682
1	#bnk48market	682
2	#ศึกเมนูพิชิตใจ	682
3	#bnk48	682
4	#mobilebnk48	682
5	#kornbnk48	682
6	#musicb…rt	682
7	#bnk48	682
8	#bnk48digital…rt	682
9	#musicbnk48	682
10	#bnk…rt	682
11	#พยายามเสี่ยว	682
12	#เหมือนจะแป้ก	682
13	#musicbnk48	682
14	#bnk48	682
15	#vale…rt	682
16	#punbnk48	682
17	#bnk48	682
18	#mymilintine	682
19	#namneungbnk48	682
20	#bnk48	682
21	#เพลงหากิน	682
22	#bnk48	682
23	#janbnk48	682
24	#janchan	682
0	#cherprangbnk48	692
1	#punbnk48	692
2	#musicbnk48	692
3	#mobilebnk48	692
4	#ornbnk48	692
5	#jennisbnk…rt	692
6	#เพลงหากิน	692
7	#bnk48	692
8	#janbnk48	692
9	#janchan	692
10	#bnk48	692
11	#punbnk48	692
12	#เพลงหากิน	692
13	#bnk48	692
14	#janbnk48	692
15	#janchan	692
16	#bnk48	692
17	#bnk48	692
0	#วาเลนไทน์	703
1	#แคปเฌอ	703
2	#cherprangbnk48	703
3	#bnk48	703
4	#เฌอปราง	703
5	#myvalentine	703
6	#bnk48	703
7	#valentinemyoshi	703
8	#cherprangbnk48	703
9	#bnk48	703
10	#เพลงหากิน	703
11	#bnk48	703
12	#janbnk48	703
13	#janchan	703
14	#musicbnk48	703
15	#bnk48	703
16	#mobilebnk48	703
17	#cherprangbnk48	703
18	#bnk48	703
0	#izutarinabnk48	713
1	#izurin…rt	713
2	#bnk48	713
3	#janbnk48	713
4	#janchanrt	713
5	#bnk48	713
6	#bnk48foundermember	713
7	#bnk48theater	713
8	#bnk48thecampus	713
9	#bnk481stc…rt	713
10	#bnk48	713
11	#musicbnk48	713
12	#punbnk48	713
13	#cherprangbnk48	713
14	#bnk48	713
15	#punbnk4…	713
0	#myvatentine	723
1	#jennisbnk48	723
2	#bnk48	723
3	#jennisbnk48	723
4	#punbnk48	723
5	#bnk48	723
6	#bnk48	723
7	#bnk48	723
8	#bnk48	723
9	#bnk48foundermember	723
10	#bnk48theater	723
11	#bnk48thecampus	723
12	#bnk481stc…rt	723
13	#punbnk48	723
14	#bnk48	723
15	#bnk48	723
16	#เพลงหากิน	723
17	#bnk48	723
18	#janbnk48	723
19	#janchan	723
20	#bnk48	723
21	#fungjai	723
0	#bnk48	733
1	#janbnk48	733
